path_id,link_id,first_color
0,414,52
0,455,52
0,478,52
0,452,52
0,511,52
1,568,52
1,469,52
2,526,52
2,496,52
2,106,52
2,456,52
2,373,52
2,144,52
2,418,52
2,349,52
3,357,52
3,378,52
3,550,52
3,538,52
4,297,66
4,89,66
4,145,66
4,21,66
4,35,66
4,39,66
4,19,66
4,8,66
4,40,66
4,564,66
4,194,66
4,486,66
4,189,66
4,223,66
4,203,66
4,310,66
4,530,66
4,457,66
5,305,66
5,398,66
5,298,66
5,324,66
5,516,66
5,437,66
5,416,66
5,446,66
6,425,66
6,289,66
6,415,66
6,542,66
6,506,66
7,441,66
7,513,66
7,512,66
8,299,3
8,211,3
8,532,3
8,283,3
8,482,3
8,462,3
9,526,3
9,535,3
10,249,28
10,286,28
10,113,28
10,132,28
10,134,28
10,529,28
10,421,28
10,140,28
10,94,28
10,225,28
10,335,28
10,334,28
10,170,28
11,267,28
11,402,28
11,399,28
11,549,28
12,267,46
12,170,46
12,334,46
12,458,46
12,536,46
13,561,46
13,556,46
14,258,46
14,488,46
14,527,46
15,253,70
15,525,70
15,258,70
15,488,70
15,527,70
15,440,70
16,435,70
16,98,70
16,164,70
16,218,70
16,467,70
16,493,70
16,333,70
16,304,70
16,178,70
17,528,18
17,317,18
17,358,18
17,402,18
17,399,18
17,42,18
17,567,18
17,566,18
17,303,18
18,168,7
18,444,7
18,484,7
18,412,7
18,449,7
19,458,17
19,536,17
19,561,17
20,477,17
20,346,17
20,476,17
20,522,17
21,504,16
21,474,16
21,554,16
22,550,16
22,423,16
22,501,16
22,473,16
22,273,16
22,56,16
23,373,16
23,456,16
23,106,16
23,496,16
23,526,16
23,469,16
24,568,16
24,511,16
25,452,16
25,417,16
26,95,27
26,408,27
26,247,27
26,404,27
26,557,27
26,544,27
27,561,27
27,556,27
28,506,0
28,441,0
28,535,0
28,526,0
29,43,57
29,459,57
29,168,57
29,231,57
29,128,57
29,324,57
30,373,0
30,456,0
30,106,0
31,494,3
31,507,3
31,281,3
31,244,3
31,517,3
32,471,24
32,283,24
32,482,24
32,284,24
32,127,24
32,433,24
33,408,0
34,291,0
34,381,0
34,332,0
34,302,0
34,436,0
34,255,0
34,347,0
34,364,0
35,130,6
35,55,6
35,253,6
35,525,6
35,556,6
36,561,6
36,536,6
36,458,6
37,42,17
37,399,17
37,402,17
37,267,17
37,240,17
37,279,17
37,69,17
37,293,17
37,180,17
38,326,59
38,414,59
38,518,59
38,430,59
38,215,59
38,572,59
39,157,59
39,119,59
39,124,59
39,494,59
39,507,59
39,281,59
39,244,59
39,366,59
39,363,59
39,405,59
39,64,59
40,165,59
40,123,59
40,247,59
40,404,59
40,557,59
40,544,59
41,561,59
42,218,37
42,164,37
42,98,37
42,435,37
42,440,37
42,527,37
42,488,37
42,258,37
43,556,37
43,561,37
44,544,37
44,557,37
44,404,37
44,247,37
44,408,37
44,136,37
44,73,37
45,405,37
45,363,37
46,351,2
46,210,2
46,345,2
46,266,2
46,202,2
47,82,29
47,28,29
47,292,29
47,108,29
47,217,29
47,424,29
47,367,29
47,524,29
47,375,29
47,109,29
47,224,29
47,176,29
47,282,29
47,388,29
48,225,3
48,439,3
48,180,3
48,122,3
48,126,3
48,191,3
48,540,3
49,170,20
49,334,20
49,458,20
49,536,20
50,561,20
50,477,20
50,346,20
50,476,20
51,522,20
52,380,25
52,349,25
52,357,25
52,275,25
52,392,25
52,178,25
52,304,25
52,333,25
53,211,12
53,299,12
53,478,12
53,452,12
53,511,12
53,234,12
53,355,12
53,393,12
54,298,38
54,398,38
54,484,38
54,344,38
54,356,38
54,397,38
54,234,38
54,511,38
55,452,38
55,417,38
56,349,17
56,357,17
56,275,17
56,392,17
56,178,17
56,304,17
56,333,17
56,493,17
56,467,17
56,218,17
56,164,17
57,98,17
57,504,17
58,303,2
58,566,2
58,567,2
58,42,2
59,117,7
59,247,7
59,404,7
59,557,7
59,544,7
60,561,7
60,477,7
60,346,7
60,476,7
61,522,7
62,168,10
62,231,10
62,128,10
62,324,10
62,214,10
62,382,10
62,371,10
62,520,10
63,305,26
63,484,26
63,344,26
63,356,26
63,397,26
63,234,26
64,185,69
64,236,69
64,160,69
64,495,69
64,161,69
64,483,69
64,397,69
64,355,69
64,393,69
64,515,69
65,520,69
66,398,45
66,484,45
66,344,45
66,356,45
66,397,45
66,234,45
66,511,45
66,452,45
67,478,45
67,455,45
68,130,1
68,306,1
68,227,1
68,460,1
69,12,58
69,6,58
69,5,58
69,1,58
69,15,58
69,39,58
69,135,58
69,11,58
69,22,58
69,312,58
69,352,58
69,189,58
69,223,58
69,203,58
69,143,58
69,370,58
69,245,58
69,233,58
69,484,58
70,280,74
70,500,74
70,429,74
70,406,74
70,345,74
70,266,74
70,465,74
71,547,74
71,132,74
71,134,74
71,529,74
71,421,74
71,140,74
71,94,74
71,225,74
71,335,74
72,432,74
72,454,74
72,509,74
