path_id,source_id,destination_id,width
0,15,936,1
1,936,933,1
2,933,268,1
3,439,407,1
4,407,662,1
5,662,593,1
6,593,510,1
7,510,653,1
8,653,650,1
9,650,646,1
10,646,645,1
11,29,529,1
12,529,745,1
13,745,748,1
14,748,827,1
15,827,272,1
16,272,792,1
17,792,789,1
18,789,786,1
19,786,783,1
20,783,269,1
21,439,901,1
22,901,860,1
23,14,426,1
24,426,617,1
25,617,620,1
26,620,660,1
27,660,657,1
28,657,655,1
29,655,705,1
30,705,667,1
31,667,606,1
32,6,2,1
33,2,43,1
34,43,47,1
35,47,8,1
36,249,448,1
37,448,737,1
38,737,740,1
39,740,819,1
40,819,270,1
41,407,662,1
42,662,659,1
43,659,656,1
44,656,653,1
45,653,704,1
46,704,608,1
47,14,426,1
48,426,894,1
49,894,897,1
50,897,660,1
51,660,611,1
52,611,728,1
53,728,918,1
54,918,915,1
55,915,667,1
56,667,910,1
57,910,594,1
58,594,514,1
59,262,828,1
60,828,949,1
61,949,952,1
62,952,280,1
63,280,279,1
64,269,939,1
65,939,280,1
66,280,283,1
67,283,285,1
68,249,735,1
69,735,814,1
70,814,817,1
71,817,938,1
72,938,279,1
73,279,277,1
74,0,442,1
75,24,372,1
76,372,374,1
77,374,377,1
78,377,379,1
79,379,267,1
80,267,384,1
81,384,277,1
82,262,686,1
83,686,683,1
84,683,680,1
85,680,819,1
86,819,270,1
87,653,510,1
88,510,593,1
89,593,616,1
90,616,773,1
91,325,414,1
92,414,884,1
93,884,867,1
94,867,864,1
95,864,637,1
96,248,445,1
97,445,447,1
98,447,450,1
99,450,453,1
100,453,251,1
101,251,456,1
102,456,459,1
103,459,462,1
104,462,750,1
105,750,263,1
106,263,832,1
107,832,283,1
108,18,426,1
109,426,617,1
110,617,620,1
111,620,660,1
112,24,289,1
113,289,291,1
114,291,294,1
115,294,296,1
116,296,27,1
117,27,300,1
118,300,303,1
119,303,306,1
120,306,528,1
121,528,252,1
122,252,747,1
123,747,826,1
124,826,829,1
125,829,950,1
126,950,282,1
127,275,283,1
128,283,280,1
129,19,183,1
130,183,185,1
131,185,187,1
132,187,211,1
133,211,278,1
134,252,460,1
135,460,749,1
136,749,752,1
137,752,694,1
138,694,264,1
139,264,836,1
140,836,284,1
141,284,275,1
142,255,759,1
143,759,838,1
144,838,841,1
145,841,285,1
146,4,139,1
147,139,135,1
148,135,132,1
149,132,16,1
150,16,159,1
151,159,277,1
152,20,205,1
153,205,208,1
154,208,21,1
155,21,9,1
156,9,442,1
157,442,928,1
158,928,925,1
159,925,922,1
160,922,920,1
161,920,917,1
162,917,914,1
163,914,700,1
164,700,703,1
165,703,642,1
166,28,525,1
167,525,454,1
168,454,451,1
169,451,448,1
170,448,249,1
171,10,9,1
172,9,442,1
173,442,928,1
174,928,925,1
175,925,922,1
176,922,629,1
177,629,626,1
178,626,624,1
179,624,606,1
180,606,872,1
181,872,641,1
182,20,15,1
183,15,384,1
184,384,267,1
185,267,379,1
186,379,668,1
187,668,671,1
188,671,731,1
189,731,248,1
190,248,445,1
191,445,249,1
192,277,202,1
193,202,204,1
194,204,207,1
195,207,210,1
196,210,562,1
197,562,585,1
198,585,442,1
199,16,126,1
200,126,277,1
201,245,541,1
202,541,757,1
203,757,760,1
204,760,697,1
205,697,264,1
206,264,694,1
207,694,691,1
208,691,688,1
209,688,685,1
210,685,261,1
211,261,824,1
212,824,789,1
213,789,786,1
214,786,783,1
215,783,269,1
216,269,780,1
217,780,933,1
218,933,936,1
219,936,277,1
220,645,649,1
221,649,652,1
222,652,722,1
223,722,725,1
224,725,728,1
225,24,289,1
226,289,291,1
227,291,294,1
228,294,296,1
229,296,27,1
230,27,300,1
231,300,303,1
232,303,306,1
233,306,309,1
234,309,243,1
235,243,312,1
236,312,244,1
237,8,47,1
238,47,43,1
239,43,2,1
240,2,1,1
241,1,346,1
242,346,349,1
243,349,640,1
244,640,637,1
245,272,795,1
246,795,283,1
247,266,844,1
248,844,286,1
249,286,283,1
250,283,795,1
251,795,272,1
252,272,792,1
253,792,789,1
254,789,786,1
255,786,783,1
256,783,269,1
257,269,939,1
258,939,278,1
259,278,277,1
260,252,460,1
261,460,749,1
262,749,752,1
263,752,694,1
264,694,264,1
265,264,836,1
266,836,284,1
267,284,276,1
268,2,1,1
269,1,227,1
270,227,224,1
271,224,222,1
272,222,219,1
273,219,215,1
274,215,434,1
275,434,14,1
276,10,9,1
277,9,590,1
278,590,439,1
279,439,407,1
280,407,662,1
281,662,659,1
282,659,656,1
283,656,653,1
