path_id,link_id,first_color
0,326,45
0,532,45
0,283,45
0,482,45
0,284,45
0,262,45
0,380,45
0,349,45
0,357,45
0,275,45
0,392,45
0,178,45
0,304,45
0,333,45
1,299,53
1,211,53
1,532,53
1,283,53
1,482,53
1,462,53
1,526,53
1,535,53
2,249,68
2,286,68
2,113,68
2,523,68
2,321,68
2,81,68
2,80,68
2,125,68
2,191,68
2,126,68
2,122,68
2,180,68
2,439,68
2,335,68
2,432,68
2,454,68
2,187,68
2,399,68
2,549,68
3,267,71
3,170,71
3,334,71
3,458,71
3,536,71
3,561,71
3,556,71
3,258,71
3,488,71
4,527,71
5,121,45
5,481,45
5,517,45
5,244,45
5,281,45
5,507,45
5,494,45
5,124,45
5,119,45
5,157,45
5,572,45
5,215,45
5,430,45
5,518,45
5,455,45
6,55,26
6,130,26
6,314,26
6,470,26
6,386,26
6,527,26
6,440,26
6,435,26
6,98,26
6,164,26
6,218,26
6,467,26
6,493,26
6,333,26
6,304,26
6,178,26
7,528,9
7,317,9
7,454,9
7,509,9
7,342,9
7,521,9
7,188,9
8,77,46
8,24,46
8,216,46
8,195,46
8,141,46
8,179,46
8,442,46
8,332,46
8,302,46
8,436,46
8,255,46
8,347,46
8,364,46
8,500,46
8,280,46
8,363,46
8,405,46
8,64,46
8,88,46
8,117,46
9,168,1
9,444,1
9,484,1
9,412,1
9,449,1
10,458,25
10,536,25
10,561,25
10,477,25
10,346,25
10,476,25
10,522,25
11,98,64
11,447,64
11,85,64
11,467,64
11,493,64
11,333,64
11,304,64
11,178,64
11,392,64
11,275,64
11,357,64
11,349,64
11,380,64
11,262,64
11,284,64
11,482,64
11,283,64
11,471,64
12,95,54
12,408,54
12,247,54
12,404,54
12,557,54
12,544,54
12,561,54
12,556,54
13,49,67
13,72,67
13,463,67
13,484,67
13,344,67
13,356,67
13,287,67
13,330,67
13,514,67
13,350,67
13,390,67
13,420,67
13,387,67
13,118,67
13,110,67
13,297,67
13,104,67
13,186,67
13,30,67
13,319,67
14,12,54
14,66,54
14,104,54
14,186,54
14,30,54
14,129,54
14,291,54
14,381,54
14,332,54
14,302,54
14,436,54
14,255,54
14,347,54
14,364,54
14,563,54
14,202,54
15,506,3
15,441,3
15,535,3
15,526,3
16,131,4
16,401,4
16,368,4
16,324,4
17,373,0
17,456,0
17,106,0
18,494,5
18,507,5
18,281,5
18,244,5
18,517,5
19,471,12
19,283,12
19,482,12
19,284,12
19,127,12
19,433,12
20,292,51
20,108,51
20,217,51
20,424,51
20,367,51
20,524,51
20,375,51
20,109,51
20,224,51
20,176,51
20,282,51
20,221,51
20,305,51
20,398,51
20,298,51
21,408,0
22,291,0
22,381,0
22,332,0
22,302,0
22,436,0
22,255,0
22,347,0
22,364,0
23,130,12
23,55,12
23,253,12
23,525,12
23,556,12
23,561,12
23,536,12
23,458,12
24,42,15
24,399,15
24,402,15
24,267,15
24,240,15
24,279,15
24,69,15
24,293,15
24,180,15
25,326,23
25,414,23
25,518,23
25,427,23
25,569,23
25,533,23
26,346,23
26,477,23
27,85,66
27,468,66
27,474,66
27,543,66
27,491,66
28,570,66
28,517,66
28,366,66
29,351,2
29,210,2
29,345,2
29,266,2
29,202,2
30,18,50
30,16,50
30,2,50
30,17,50
30,4,50
30,6,50
30,12,50
30,66,50
30,71,50
30,387,50
30,420,50
30,390,50
30,537,50
30,181,50
30,478,50
30,299,50
30,211,50
31,141,68
31,319,68
31,30,68
31,186,68
31,104,68
31,71,68
31,387,68
31,420,68
31,390,68
31,537,68
31,181,68
31,417,68
31,288,68
32,82,52
32,28,52
32,292,52
32,108,52
32,217,52
32,424,52
32,367,52
32,524,52
32,375,52
32,109,52
32,224,52
32,176,52
32,282,52
32,388,52
33,73,62
33,405,62
33,363,62
33,280,62
33,500,62
33,364,62
33,347,62
33,255,62
33,436,62
33,302,62
33,332,62
33,442,62
33,102,62
33,133,62
33,195,62
33,63,62
34,574,6
34,573,6
34,296,6
34,485,6
34,159,6
34,198,6
35,170,29
35,334,29
35,458,29
35,536,29
35,561,29
35,477,29
35,346,29
35,476,29
35,522,29
36,380,2
36,349,2
36,357,2
36,378,2
36,340,2
36,178,2
36,304,2
36,333,2
37,211,17
37,299,17
37,478,17
37,452,17
37,511,17
37,234,17
37,355,17
37,393,17
38,298,22
38,398,22
38,484,22
38,344,22
38,356,22
38,287,22
38,330,22
38,514,22
38,498,22
38,374,22
38,452,22
38,417,22
39,349,9
39,357,9
39,275,9
39,392,9
39,178,9
39,304,9
39,333,9
39,493,9
39,467,9
39,218,9
39,164,9
39,98,9
39,504,9
40,303,2
40,566,2
40,567,2
40,42,2
41,88,0
41,64,0
41,481,0
41,570,0
41,491,0
42,401,8
42,368,8
42,324,8
42,214,8
42,382,8
42,371,8
42,520,8
43,305,8
43,484,8
43,344,8
43,356,8
43,397,8
43,234,8
44,185,29
44,236,29
44,160,29
44,495,29
44,161,29
44,483,29
44,397,29
44,234,29
44,568,29
45,398,37
45,484,37
45,344,37
45,356,37
45,397,37
45,234,37
45,511,37
45,452,37
45,478,37
45,455,37
46,130,2
46,306,2
46,227,2
46,460,2
47,12,62
47,6,62
47,5,62
47,1,62
47,15,62
47,39,62
47,135,62
47,11,62
47,22,62
47,312,62
47,352,62
47,495,62
47,161,62
47,370,62
